,en,vi,char,
story.Prologue_Classroom_3.misc_shelf2b.text.5976341a7cf838c5d3c59c8187b2f487abe54dc7,Some books and… chalk.,Vài cuốn sách dới cục phấn,,
,,,,
story.Prologue_Classroom_3.misc_shelf2b.choice.text.e8d32d47491e2462d1e83b81526638ac486785c4,Take it?,Lấy hong?,,
story.Prologue_Classroom_3.misc_shelf2b.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Ời,,
story.Prologue_Classroom_3.misc_shelf2b.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Quéo,,
,,,,
story.Prologue_Classroom_3.misc_shelf2b.text.9dd1b82a5e4f409f34a6c727d6cf043f271ad8f9,There's nothing else of use.,Hỏng cọ chi xài đặng nửa.,,
,,,,
story.Prologue_Classroom_3.misc_trashcan.text.c151769c9b7c94a0bc56d85aa96edce07f38d4be,A trash can.,Sọt rác.,,
story.Prologue_Classroom_3.misc_trashcan.text.88eca18b664c00fc02ee6ab7f6f8418405a98ea1,"As it's usually the case with trash cans, it's devoid of useful items.","Sọt rác hong cọ chi để lục hớt.",,
,,,,
story.Prologue_Classroom_3.misc_window1.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,Hỏng đặng mở rèm ga,,
,,,,
story.Prologue_Classroom_3.misc_window2.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,Hỏng đặng mở rèm ga,,
,,,,
story.Prologue_Classroom_3.misc_window3.text.b0e2f12daabe29569d19459db1ddada873d12fa9,The curtains should stay closed.,Hỏng đặng mở rèm ga,,
,,,,
story.Prologue_Classroom_3.move_enter.choice.text.de94a1b5f3e96666575b288236ae55f16301c4ff,Should I sort the desks in this classroom now?,Xếp lại bờn bơ chừ he?,,
story.Prologue_Classroom_3.move_enter.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Dô,,
story.Prologue_Classroom_3.move_enter.choice.8de95fd5b4121e2d7c337a70f664f13c28c3c275,Not yet,Kệ tía,,
story.Prologue_Classroom_3.move_enter.text.7c6267ee4264c3380f5ba82b281c8302568043f0,Let's do this.,Dô nà,,
